cake,yummy cake
donut,yummy donut
brownie,yummy brownie
helmet,awesome helmet
helmet,awesome helmet
helmet,awesome helmet
pills,I need pills
bottle,What can i do with this?
bondage,Welldone medic.
ruby,I like it.
emerald,I like it.
spoon,Are they spoons?
doll,I don't know where this doll used.
plate,twinkle
plate,twinkle
plain,twinkle
half,delicious
plain2,delicious
lettuce,feel healthy
tomato,feel healthy
potato,feel healthy
hamburger,lovely food
bread,thank you mom.
fruit,what's this?
bread,yummy
scallion,green onion
scallion,green onion
pot,hungry
pot,look better
pot,look better
orange,ORANGE
half orange,ORANGE
grape fruit,G.F.
grape fruit,G.F.
cup,twinkle
juice,nice
juice,nice
sniper,OMG
chainsaw,good
bible,ISAAC?
flame,OMG
sword,STEVE's
spring,I think it is bread.
lace,wow
lace,wow
bracelet,look expensive
hair pin,fork?
ribbon,I am CONAN.
goggle,LUCKY SEVEN
jacket,FEEL COOL
